run_id,config_name,algorithm,seed,eval_day,ambient_scenario,n_evs_with_session,sum_d_cal,sum_d_cal_point_estimate,jensen_gap_pct,sum_d_cyc_unchanged
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-11-09,station_v0_bogota,ChargeAsFastAsPossible,1,2022-11-09,default,14,0.0002297979496466879,0.0002297979496466879,0.0,0.0002549304597613978
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-11-09,station_v0_bogota,ChargeAsFastAsPossible,1,2022-11-09,bogota_outdoor,14,0.00011045816549521274,0.00010886436558516844,1.4428991309957748,0.0002455662347851676
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-11-09,station_v0_bogota,ChargeAsFastAsPossible,1,2022-11-09,bogota_outdoor_plus5,14,0.00012414061000696536,0.00012018011810248831,3.1903274071674335,0.00023521853987212526
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-11-09,station_v0_bogota,ChargeAsFastAsPossible,1,2022-11-09,bogota_underground,14,9.364389713151058e-05,9.361662538653105e-05,0.029122821470402734,0.00022577190438320642
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-01-17,station_v0_bogota,ChargeAsFastAsPossible,2,2022-01-17,default,12,0.0002037102455298725,0.0002037102455298725,0.0,0.00017724713890063075
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-01-17,station_v0_bogota,ChargeAsFastAsPossible,2,2022-01-17,bogota_outdoor,12,9.944838863844226e-05,9.842326261044298e-05,1.030812104685028,0.0001689694191696337
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-01-17,station_v0_bogota,ChargeAsFastAsPossible,2,2022-01-17,bogota_outdoor_plus5,12,0.00011050658176365678,0.00010787031686396277,2.385617994530188,0.00016148178069803
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-01-17,station_v0_bogota,ChargeAsFastAsPossible,2,2022-01-17,bogota_underground,12,8.313396800425612e-05,8.311734800622462e-05,0.01999182576085108,0.000155322858852819
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-02-14,station_v0_bogota,ChargeAsFastAsPossible,2,2022-02-14,default,12,0.0002037102455298725,0.0002037102455298725,0.0,0.00017724713890063075
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-02-14,station_v0_bogota,ChargeAsFastAsPossible,2,2022-02-14,bogota_outdoor,12,9.944838863844226e-05,9.842326261044298e-05,1.030812104685028,0.0001689694191696337
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-02-14,station_v0_bogota,ChargeAsFastAsPossible,2,2022-02-14,bogota_outdoor_plus5,12,0.00011050658176365678,0.00010787031686396277,2.385617994530188,0.00016148178069803
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-02-14,station_v0_bogota,ChargeAsFastAsPossible,2,2022-02-14,bogota_underground,12,8.313396800425612e-05,8.311734800622462e-05,0.01999182576085108,0.000155322858852819
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-03-05,station_v0_bogota,ChargeAsFastAsPossible,2,2022-03-05,default,14,0.00023182946433474805,0.00023182946433474805,0.0,0.0002907025493581122
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-03-05,station_v0_bogota,ChargeAsFastAsPossible,2,2022-03-05,bogota_outdoor,14,0.0001091638547503002,0.00010835206613082759,0.7436423176238002,0.0002801542429503266
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-03-05,station_v0_bogota,ChargeAsFastAsPossible,2,2022-03-05,bogota_outdoor_plus5,14,0.00012202524802319653,0.00011946531515232863,2.097871475238689,0.00026855460643142304
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-03-05,station_v0_bogota,ChargeAsFastAsPossible,2,2022-03-05,bogota_underground,14,9.409417723154503e-05,9.408044430400951e-05,0.014594874985435416,0.000257897260997133
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-04-06,station_v0_bogota,ChargeAsFastAsPossible,2,2022-04-06,default,12,0.0002037102455298725,0.0002037102455298725,0.0,0.00017724713890063075
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-04-06,station_v0_bogota,ChargeAsFastAsPossible,2,2022-04-06,bogota_outdoor,12,9.944838863844226e-05,9.842326261044298e-05,1.030812104685028,0.0001689694191696337
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-04-06,station_v0_bogota,ChargeAsFastAsPossible,2,2022-04-06,bogota_outdoor_plus5,12,0.00011050658176365678,0.00010787031686396277,2.385617994530188,0.00016148178069803
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-04-06,station_v0_bogota,ChargeAsFastAsPossible,2,2022-04-06,bogota_underground,12,8.313396800425612e-05,8.311734800622462e-05,0.01999182576085108,0.000155322858852819
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-05-21,station_v0_bogota,ChargeAsFastAsPossible,2,2022-05-21,default,14,0.00023182946433474805,0.00023182946433474805,0.0,0.0002907025493581122
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-05-21,station_v0_bogota,ChargeAsFastAsPossible,2,2022-05-21,bogota_outdoor,14,0.0001091638547503002,0.00010835206613082759,0.7436423176238002,0.0002801542429503266
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-05-21,station_v0_bogota,ChargeAsFastAsPossible,2,2022-05-21,bogota_outdoor_plus5,14,0.00012202524802319653,0.00011946531515232863,2.097871475238689,0.00026855460643142304
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-05-21,station_v0_bogota,ChargeAsFastAsPossible,2,2022-05-21,bogota_underground,14,9.409417723154503e-05,9.408044430400951e-05,0.014594874985435416,0.000257897260997133
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-06-15,station_v0_bogota,ChargeAsFastAsPossible,2,2022-06-15,default,12,0.0002037102455298725,0.0002037102455298725,0.0,0.00017724713890063075
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-06-15,station_v0_bogota,ChargeAsFastAsPossible,2,2022-06-15,bogota_outdoor,12,9.944838863844226e-05,9.842326261044298e-05,1.030812104685028,0.0001689694191696337
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-06-15,station_v0_bogota,ChargeAsFastAsPossible,2,2022-06-15,bogota_outdoor_plus5,12,0.00011050658176365678,0.00010787031686396277,2.385617994530188,0.00016148178069803
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-06-15,station_v0_bogota,ChargeAsFastAsPossible,2,2022-06-15,bogota_underground,12,8.313396800425612e-05,8.311734800622462e-05,0.01999182576085108,0.000155322858852819
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-07-10,station_v0_bogota,ChargeAsFastAsPossible,2,2022-07-10,default,14,0.00023182946433474805,0.00023182946433474805,0.0,0.0002907025493581122
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-07-10,station_v0_bogota,ChargeAsFastAsPossible,2,2022-07-10,bogota_outdoor,14,0.0001091638547503002,0.00010835206613082759,0.7436423176238002,0.0002801542429503266
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-07-10,station_v0_bogota,ChargeAsFastAsPossible,2,2022-07-10,bogota_outdoor_plus5,14,0.00012202524802319653,0.00011946531515232863,2.097871475238689,0.00026855460643142304
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-07-10,station_v0_bogota,ChargeAsFastAsPossible,2,2022-07-10,bogota_underground,14,9.409417723154503e-05,9.408044430400951e-05,0.014594874985435416,0.000257897260997133
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-08-24,station_v0_bogota,ChargeAsFastAsPossible,2,2022-08-24,default,12,0.0002037102455298725,0.0002037102455298725,0.0,0.00017724713890063075
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-08-24,station_v0_bogota,ChargeAsFastAsPossible,2,2022-08-24,bogota_outdoor,12,9.944838863844226e-05,9.842326261044298e-05,1.030812104685028,0.0001689694191696337
station_v0_bogota__ChargeAsFastAsPossible__seed2__2022-08-24,station_v0_bogota,ChargeAsFastAsPossible,2,2022-08-24,bogota_outdoor_plus5,12,0.00011050658176365678,0.00010787031686396277,2.385617994530188,0.00016148178069803
