config_name,algorithm,seed,eval_day,algorithm_family,total_energy_charged_kwh,retail_revenue_cop,energy_purchase_cost_cop,gross_margin_cop,retail_tariff_cop_per_kwh,retail_tariff_month,energy_purchase_cost_cop_per_kwh,cu_tariff_month,cu_with_contribution
station_v0_bogota,ChargeAsFastAsPossible,4,2022-01-17,heuristic,183.38350318294448,265906.0796152695,158766.37679092077,107139.70282434873,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,4,2022-02-14,heuristic,183.38350318294448,265906.0796152695,158766.37679092077,107139.70282434873,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,4,2022-03-05,heuristic,176.65524999891372,256150.1124984249,152941.31422193453,103208.79827649036,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,4,2022-04-06,heuristic,183.38350318294448,265906.0796152695,158766.37679092077,107139.70282434873,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,4,2022-05-21,heuristic,176.65524999891372,256150.1124984249,152941.31422193453,103208.79827649036,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,4,2022-06-15,heuristic,183.38350318294448,265906.0796152695,158766.37679092077,107139.70282434873,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,4,2022-07-10,heuristic,176.65524999891372,256150.1124984249,152941.31422193453,103208.79827649036,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,4,2022-08-24,heuristic,183.38350318294448,265906.0796152695,158766.37679092077,107139.70282434873,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,4,2022-09-17,heuristic,176.65524999891372,256150.1124984249,152941.31422193453,103208.79827649036,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,4,2022-11-09,heuristic,183.38350318294448,265906.0796152695,158766.37679092077,107139.70282434873,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,0,2022-01-17,heuristic,214.3110811776853,310751.0677076437,185542.28310701458,125208.78460062915,1450.0,2025-08,865.7615,2026-08,True
